label,id,clip_fk,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,rms_mean,rms_std,zero_crossing_rate_mean,zero_crossing_rate_std
normal,1,1,-417.3221435546875,123.6971206665039,7.197736740112305,15.142730712890625,2.455519914627075,6.59550666809082,2.483001708984375,5.098690986633301,0.2068309634923935,-1.7368443012237549,2.0101728439331055,7.074361324310303,8.008881568908691,4.843564987182617,3.6811139583587646,3.048940896987915,3.093686103820801,3.2769992351531982,3.6844379901885986,3.7442421913146973,3.4709575176239014,3.026283025741577,2.9906444549560547,2.78572416305542,2.9463164806365967,2.9984493255615234,1226.8395561265925,60.589882721713224,1630.9961987794647,41.1824584382675,0.004376213066279888,0.0006487176287919283,0.061163076577476036,0.01333089946099599
normal,2,2,-420.6867980957031,129.59474182128906,2.4778897762298584,16.421688079833984,3.229418992996216,7.476565837860107,1.069858193397522,1.1100791692733765,-2.3289477825164795,1.0711365938186646,8.520174980163574,8.776144027709961,2.5105159282684326,4.572393894195557,3.669733762741089,3.309720993041992,3.2223799228668213,2.9890546798706055,3.468576669692993,3.3864452838897705,3.0417160987854004,2.9074742794036865,3.1862235069274902,2.9373960494995117,2.9837048053741455,2.8056886196136475,1162.8364026542179,54.49110971356006,1539.567875124674,39.01031319718588,0.004296870436519384,0.0005440092645585537,0.05927859175319489,0.010692410079525256
normal,3,3,-419.1531677246094,131.54803466796875,-4.906367778778076,28.290681838989258,2.3604516983032227,15.503678321838379,1.2363337278366089,0.9813191294670105,-2.5044310092926025,2.685992956161499,6.264638900756836,7.267099380493164,1.9894142150878906,6.008249282836914,5.464298248291016,4.284642696380615,3.201587200164795,3.3017163276672363,3.2311410903930664,3.359804391860962,3.2620937824249268,2.768507480621338,2.879077911376953,2.9557113647460938,3.001880168914795,2.919928789138794,1104.891878942274,73.23767875175047,1455.7388725596722,68.89220766185475,0.004621969535946846,0.0006877552368678153,0.050250848642172524,0.011337990114339449
normal,4,4,-414.0850524902344,119.26988983154297,13.76413631439209,21.02678871154785,3.1916887760162354,3.6654837131500244,0.5796895027160645,-3.2817492485046387,0.042799025774002075,4.4651594161987305,4.2653303146362305,8.91724967956543,5.587815284729004,4.95298957824707,3.5918662548065186,2.9795010089874268,2.9174716472625732,2.8558919429779053,3.6053082942962646,3.1422410011291504,3.1156857013702393,3.0441062450408936,3.093168020248413,2.8469455242156982,2.953899383544922,2.935256004333496,1259.7411784580036,64.13963457737758,1699.8872323859403,44.186999950457796,0.004291736986488104,0.0004642554558813572,0.06201327875399361,0.0090880477192425
normal,5,5,-427.23101806640625,136.69140625,-2.586015224456787,29.533267974853516,1.4696711301803589,13.200304985046387,-1.176573634147644,4.0091423988342285,0.8556066155433655,3.2104806900024414,2.3788394927978516,4.400256633758545,2.7027740478515625,7.073955535888672,4.7632598876953125,5.637386322021484,3.306277275085449,3.578972101211548,3.33207368850708,3.373911142349243,3.425348997116089,3.2113378047943115,3.2339632511138916,2.9610142707824707,2.9062178134918213,3.1502368450164795,1036.0640163720784,58.89275299648029,1409.7194862310705,57.28446386627502,0.004414264112710953,0.0005253428244031966,0.04806996305910543,0.009179714890961211
normal,6,6,-422.4732360839844,130.9675750732422,3.053025722503662,17.506933212280273,2.5577051639556885,6.728035926818848,0.8667582869529724,0.9356926083564758,-2.4329147338867188,0.5583664774894714,9.402876853942871,9.652135848999023,4.154805660247803,5.106383323669434,3.7382030487060547,3.3969218730926514,2.8251073360443115,3.0192291736602783,3.2958457469940186,3.3603949546813965,2.963806629180908,2.8726439476013184,2.857086181640625,2.8658740520477295,3.103358030319214,2.7779486179351807,1145.9023262377436,53.979130408437136,1524.1745016682103,41.12991450285487,0.004084608517587185,0.00043306220322847366,0.06452332517971246,0.011154979788914181
normal,7,7,-430.18670654296875,137.83123779296875,0.955168604850769,28.82878303527832,3.171081066131592,11.61829948425293,-3.030301809310913,0.2390282303094864,0.7197408676147461,2.6678545475006104,3.2663748264312744,4.932908058166504,3.2541210651397705,5.115151405334473,4.568997383117676,3.247920513153076,3.3095946311950684,3.0782368183135986,3.2581024169921875,3.0557572841644287,3.1382336616516113,2.9183990955352783,3.127835273742676,3.169051170349121,2.9344279766082764,2.8859221935272217,1015.5342587018213,62.99785070435789,1411.825681686749,66.15577673940018,0.004447652027010918,0.0005288927932269871,0.049647127096645365,0.011420717746580102
normal,8,8,-434.28692626953125,138.45001220703125,2.8766584396362305,31.007041931152344,3.533627510070801,12.217835426330566,-2.418105363845825,1.2488738298416138,0.5936989784240723,1.6906397342681885,2.777439594268799,5.321854591369629,2.8444292545318604,6.294745445251465,4.280124664306641,3.423698902130127,3.0617239475250244,3.2844913005828857,3.302239179611206,3.358835220336914,3.117506504058838,2.8327505588531494,3.097442865371704,2.9980952739715576,3.0951626300811768,3.135436534881592,994.9775301211516,60.84144528427065,1404.759399816258,62.65259446969094,0.0043548340909183025,0.00047101324889808893,0.047250960962460065,0.011272862815897292
normal,9,9,-425.2178955078125,137.55551147460938,-1.4660722017288208,27.1121768951416,2.1099236011505127,14.125383377075195,-0.9573401212692261,0.6658514142036438,-2.426344871520996,1.0473449230194092,5.39797830581665,6.429532527923584,1.8862838745117188,4.932714939117432,3.655177354812622,3.0078158378601074,2.645585298538208,2.9201948642730713,3.348945140838623,3.068753719329834,3.0741748809814453,2.744050979614258,3.0639517307281494,2.7088522911071777,2.767266273498535,2.794667959213257,1041.7927320956558,46.93477004335296,1412.2487758538637,37.8883220442872,0.00431163189932704,0.00045484735164791346,0.05150977186501597,0.007753004520757811
normal,10,10,-429.6839599609375,139.77182006835938,-2.881964921951294,25.817594528198242,0.8149409890174866,13.375333786010742,0.24182523787021637,2.882666826248169,-1.1654632091522217,0.4791094958782196,3.0527613162994385,5.304980754852295,2.3073060512542725,7.249106407165527,4.489803314208984,3.1704840660095215,3.4294047355651855,3.481487512588501,3.8867621421813965,3.727590560913086,3.419015645980835,3.1821062564849854,2.909907579421997,3.575039863586426,2.9257285594940186,3.1323530673980713,1025.8540733870018,58.462543990674014,1386.6361695196385,45.38136154151575,0.004369180649518967,0.0006406365428119898,0.05008236821086262,0.010135620990402541
